date,gw_shallow,gw_deep
1901-12-17,0,0
1901-12-18,0,0
1901-12-19,0,0
1901-12-20,0,0
1901-12-21,0,0
1901-12-22,0,0
1901-12-23,0,0
1901-12-24,0,0
1901-12-25,0,0
1901-12-26,0,0
1901-12-27,0,0
1901-12-28,0,0
1901-12-29,0,0
1901-12-30,0,0
1901-12-31,0,0
1902-01-01,0,0
1902-01-02,0,0
1902-01-03,0,0
1902-01-04,0,0
1902-01-05,0,0
1902-01-06,0,0
1902-01-07,0,0
1902-01-08,0,0
1902-01-09,0,0
1902-01-10,0,0
1902-01-11,0,0
1902-01-12,0,0
1902-01-13,0,0
1902-01-14,0,0
1902-01-15,0,0
1902-01-16,0,0
1902-01-17,0,0
1902-01-18,0,0
1902-01-19,0,0
1902-01-20,0,0
1902-01-21,0,0
1902-01-22,0,0
1902-01-23,0,0
1902-01-24,0,0
1902-01-25,0,0
1902-01-26,0,0
1902-01-27,0,0
1902-01-28,0,0
1902-01-29,0,0
1902-01-30,0,0
1902-01-31,0,0
1902-02-01,0,0
1902-02-02,0,0
1902-02-03,0,0
1902-02-04,0,0
1902-02-05,0,0
1902-02-06,0,0
1902-02-07,0,0
1902-02-08,0,0
1902-02-09,0,0
1902-02-10,0,0
1902-02-11,0,0
1902-02-12,0,0
1902-02-13,0,0
1902-02-14,0,0
1902-02-15,0,0
1902-02-16,0,0
1902-02-17,0,0
1902-02-18,0,0
1902-02-19,0,0
1902-02-20,0,0
1902-02-21,0,0
1902-02-22,0,0
1902-02-23,0,0
1902-02-24,0,0
1902-02-25,0,0
1902-02-26,0,0
1902-02-27,0,0
1902-02-28,0,0
1902-03-01,0,0
1902-03-02,0,0
1902-03-03,0,0
1902-03-04,0,0
1902-03-05,0,0
1902-03-06,0,0
1902-03-07,0,0
1902-03-08,0,0
1902-03-09,0,0
1902-03-10,0,0
1902-03-11,0,0
1902-03-12,0,0
1902-03-13,0,0
1902-03-14,0,0
1902-03-15,0,0
1902-03-16,0,0
1902-03-17,0,0
1902-03-18,0,0
1902-03-19,0,0
1902-03-20,0,0
1902-03-21,0,0
1902-03-22,0,0
1902-03-23,0,0
1902-03-24,0,0
1902-03-25,0,0
1902-03-26,0,0
1902-03-27,0,0
1902-03-28,0,0
1902-03-29,0,0
1902-03-30,0,0
1902-03-31,0,0
1902-04-01,0,0
1902-04-02,0,0
1902-04-03,0,0
1902-04-04,0,0
1902-04-05,0,0
1902-04-06,0,0
1902-04-07,0,0
1902-04-08,0,0
1902-04-09,0,0
1902-04-10,0,0
1902-04-11,0,0
1902-04-12,0,0
1902-04-13,0,0
1902-04-14,0,0
1902-04-15,0,0
1902-04-16,0,0
1902-04-17,0,0
1902-04-18,0,0
1902-04-19,0,0
1902-04-20,0,0
1902-04-21,0,0
1902-04-22,0,0
1902-04-23,0,0
1902-04-24,0,0
1902-04-25,0,0
1902-04-26,0,0
1902-04-27,0,0
1902-04-28,0,0
1902-04-29,0,0
1902-04-30,0,0
1902-05-01,0,0
1902-05-02,0,0
1902-05-03,0,0
1902-05-04,0,0
1902-05-05,0,0
1902-05-06,0,0
1902-05-07,0,0
1902-05-08,0,0
1902-05-09,0,0
1902-05-10,0,0
1902-05-11,0,0
1902-05-12,0,0
1902-05-13,0,0
1902-05-14,0,0
1902-05-15,0,0
1902-05-16,0,0
1902-05-17,0,0
1902-05-18,0,0
1902-05-19,0,0
1902-05-20,0,0
1902-05-21,0,0
1902-05-22,0,0
1902-05-23,0,0
1902-05-24,0,0
1902-05-25,0,0
1902-05-26,0,0
1902-05-27,0,0
1902-05-28,0,0
1902-05-29,0,0
1902-05-30,0,0
1902-05-31,0,0
1902-06-01,0,0
1902-06-02,0,0
1902-06-03,0,0
1902-06-04,0,0
1902-06-05,0,0
1902-06-06,0,0
1902-06-07,0,0
1902-06-08,0,0
1902-06-09,0,0
1902-06-10,0,0
1902-06-11,0,0
1902-06-12,0,0
1902-06-13,0,0
1902-06-14,0,0
1902-06-15,0,0
1902-06-16,0,0
1902-06-17,0,0
1902-06-18,0,0
1902-06-19,0,0
1902-06-20,0,0
1902-06-21,0,0
1902-06-22,0,0
1902-06-23,0,0
1902-06-24,0,0
1902-06-25,0,0
1902-06-26,0,0
1902-06-27,0,0
1902-06-28,0,0
1902-06-29,0,0
1902-06-30,0,0
1902-07-01,0,0
1902-07-02,0,0
1902-07-03,0,0
1902-07-04,0,0
1902-07-05,0,0
1902-07-06,0,0
1902-07-07,0,0
1902-07-08,0,0
1902-07-09,0,0
1902-07-10,0,0
1902-07-11,0,0
1902-07-12,0,0
1902-07-13,0,0
1902-07-14,0,0
1902-07-15,0,0
1902-07-16,0,0
1902-07-17,0,0
1902-07-18,0,0
1902-07-19,0,0
1902-07-20,0,0
1902-07-21,0,0
1902-07-22,0,0
1902-07-23,0,0
1902-07-24,0,0
1902-07-25,0,0
1902-07-26,0,0
1902-07-27,0,0
1902-07-28,0,0
1902-07-29,0,0
1902-07-30,0,0
1902-07-31,0,0
1902-08-01,0,0
1902-08-02,0,0
1902-08-03,0,0
1902-08-04,0,0
1902-08-05,0,0
1902-08-06,0,0
1902-08-07,0,0
1902-08-08,0,0
1902-08-09,0,0
1902-08-10,0,0
1902-08-11,0,0
1902-08-12,0,0
1902-08-13,0,0
1902-08-14,0,0
1902-08-15,0,0
1902-08-16,0,0
1902-08-17,0,0
1902-08-18,0,0
1902-08-19,0,0
1902-08-20,0,0
1902-08-21,0,0
1902-08-22,0,0
1902-08-23,0,0
1902-08-24,0,0
1902-08-25,0,0
1902-08-26,0,0
1902-08-27,0,0
1902-08-28,0,0
1902-08-29,0,0
1902-08-30,0,0
1902-08-31,0,0
1902-09-01,0,0
1902-09-02,0,0
1902-09-03,0,0
1902-09-04,0,0
1902-09-05,0,0
1902-09-06,0,0
1902-09-07,0,0
1902-09-08,0,0
1902-09-09,0,0
1902-09-10,0,0
1902-09-11,0,0
1902-09-12,0,0
1902-09-13,0,0
1902-09-14,0,0
1902-09-15,0,0
1902-09-16,0,0
1902-09-17,0,0
1902-09-18,0,0
1902-09-19,0,0
1902-09-20,0,0
1902-09-21,0,0
1902-09-22,0,0
1902-09-23,0,0
1902-09-24,0,0
1902-09-25,0,0
1902-09-26,0,0
1902-09-27,0,0
1902-09-28,0,0
1902-09-29,0,0
1902-09-30,0,0
1902-10-01,0,0
1902-10-02,0,0
1902-10-03,0,0
1902-10-04,0,0
1902-10-05,0,0
1902-10-06,0,0
1902-10-07,0,0
1902-10-08,0,0
1902-10-09,0,0
1902-10-10,0,0
1902-10-11,0,0
1902-10-12,0,0
1902-10-13,0,0
1902-10-14,0,0
1902-10-15,0,0
1902-10-16,0,0
1902-10-17,0,0
1902-10-18,0,0
1902-10-19,0,0
1902-10-20,0,0
1902-10-21,0,0
1902-10-22,0,0
1902-10-23,0,0
1902-10-24,0,0
1902-10-25,0,0
1902-10-26,0,0
1902-10-27,0,0
1902-10-28,0,0
1902-10-29,0,0
1902-10-30,0,0
1902-10-31,0,0
1902-11-01,0,0
1902-11-02,0,0
1902-11-03,0,0
1902-11-04,0,0
1902-11-05,0,0
1902-11-06,0,0
1902-11-07,0,0
1902-11-08,0,0
1902-11-09,0,0
1902-11-10,0,0
1902-11-11,0,0
1902-11-12,0,0
1902-11-13,0,0
1902-11-14,0,0
1902-11-15,0,0
1902-11-16,0,0
1902-11-17,0,0
1902-11-18,0,0
1902-11-19,0,0
1902-11-20,0,0
1902-11-21,0,0
1902-11-22,0,0
1902-11-23,0,0
1902-11-24,0,0
1902-11-25,0,0
1902-11-26,0,0
1902-11-27,0,0
1902-11-28,0,0
1902-11-29,0,0
1902-11-30,0,0
1902-12-01,0,0
1902-12-02,0,0
1902-12-03,0,0
1902-12-04,0,0
1902-12-05,0,0
1902-12-06,0,0
1902-12-07,0,0
1902-12-08,0,0
1902-12-09,0,0
1902-12-10,0,0
1902-12-11,0,0
1902-12-12,0,0
1902-12-13,0,0
1902-12-14,0,0
1902-12-15,0,0
1902-12-16,0,0
1902-12-17,0,0
1902-12-18,0,0
1902-12-19,0,0
1902-12-20,0,0
1902-12-21,0,0
1902-12-22,0,0
1902-12-23,0,0
1902-12-24,0,0
1902-12-25,0,0
1902-12-26,0,0
1902-12-27,0,0
1902-12-28,0,0
1902-12-29,0,0
1902-12-30,0,0
1902-12-31,0,0
1903-01-01,0,0
1903-01-02,0,0
1903-01-03,0,0
1903-01-04,0,0
1903-01-05,0,0
1903-01-06,0,0
1903-01-07,0,0
1903-01-08,0,0
1903-01-09,0,0
1903-01-10,0,0
1903-01-11,0,0
1903-01-12,0,0
1903-01-13,0,0
1903-01-14,0,0
1903-01-15,0,0
1903-01-16,0,0
1903-01-17,0,0
1903-01-18,0,0
1903-01-19,0,0
1903-01-20,0,0
1903-01-21,0,0
1903-01-22,0,0
1903-01-23,0,0
1903-01-24,0,0
1903-01-25,0,0
1903-01-26,0,0
1903-01-27,0,0
1903-01-28,0,0
1903-01-29,0,0
1903-01-30,0,0
1903-01-31,0,0
1903-02-01,0,0
1903-02-02,0,0
1903-02-03,0,0
1903-02-04,0,0
1903-02-05,0,0
1903-02-06,0,0
1903-02-07,0,0
1903-02-08,0,0
1903-02-09,0,0
1903-02-10,0,0
1903-02-11,0,0
1903-02-12,0,0
1903-02-13,0,0
1903-02-14,0,0
1903-02-15,0,0
1903-02-16,0,0
1903-02-17,0,0
1903-02-18,0,0
1903-02-19,0,0
1903-02-20,0,0
1903-02-21,0,0
1903-02-22,0,0
1903-02-23,0,0
1903-02-24,0,0
1903-02-25,0,0
1903-02-26,0,0
1903-02-27,0,0
1903-02-28,0,0
1903-03-01,0,0
1903-03-02,0,0
1903-03-03,0,0
1903-03-04,0,0
1903-03-05,0,0
1903-03-06,0,0
1903-03-07,0,0
1903-03-08,0,0
1903-03-09,0,0
1903-03-10,0,0
1903-03-11,0,0
1903-03-12,0,0
1903-03-13,0,0
1903-03-14,0,0
1903-03-15,0,0
1903-03-16,0,0
1903-03-17,0,0
1903-03-18,0,0
1903-03-19,0,0
1903-03-20,0,0
